root_symbol,root_symbol,exchange,name_x,name_y,multiplier,tick_size
D4,D4,NYMEX,NYISO Zone J Day-Ahead Off-Peak Calendar-Month 5 MW Futures,NYISO Zone J Day-Ahead Off-Peak,5,0.01
D6,D6,NYMEX,PJM Duquesne Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,,,
D7,D7,NYMEX,PJM AEP Dayton Hub Day-Ahead LMP Peak Calendar-Month 5 MW Futures,,,
D8,D8,NYMEX,PJM ComEd Zone 5 MW Peak Calendar-Month Day-Ahead LMP Futures,,,
D9,D9,NYMEX,PJM ComEd Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,PJM ComEd Zone Off-Peak Day-Ahead LMP,5,0.01
DA,DA,CME,Class III Milk Futures,Class III Milk,2000,0.01
DB,DB,NYMEX,Brent Crude Oil vs. Dubai Crude Oil (Platts) Futures,,,
DC,DC,NYMEX,Dubai Crude Oil (Platts) Financial Futures,Dubai Crude Cal Swap,1000,0.01
DJ,DJ,CBT,DJIA ($10) Futures,,,
DK,DK,CME,Class IV Milk Futures,Class IV Milk,2000,0.01
DY,DY,CME,Dry Whey Futures,Dry Whey,440,0.25
E3,E3,NYMEX,PJM BGE Zone Peak Calendar-Month Day-Ahead LMP Futures,,,
E4,E4,NYMEX,PJM Western Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,PJM Western Hub Off-Peak Calendar-Month Day-Ahead LMP Swap,5,0.05
E5,E5,NYMEX,Argus LLS vs. WTI (Argus) Trade Month Futures,Argus LLS Vs. WTI (Argus),1000,0.01
E7,E7,CME,E-mini Euro FX Futures,e-mini Euro,62500,0.1
E8,E8,NYMEX,PJM DPL Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,,,
EC,EC,CME,Euro FX Futures,Euro,125000,0.05
ED,ED,CME,Eurodollar Futures,Eurodollar,2500,0.025
EH,EH,CBT,Ethanol Futures,,,
EJ,EJ,NYMEX,MISO Indiana Hub (formerly Cinergy Hub) Off-Peak LMP Futures,,,
EM,EM,CME,1-month Eurodollar Futures,1-Month Eurodollar,2500,0.025
EN,EN,NYMEX,European Naphtha (Platts) Crack Spread Futures,Naphtha Crack Spread,1000,0.01
ES,ES,CME,E-mini S&P 500 Futures,e-mini S&P 500 Index( Divided by 10 ),50,0.25
EW,EW,NYMEX,East-West Fuel Oil Spread (Platts) Futures,East-West Fuel Oil Spread Swap,1000,0.01
EY,EY,CME,EuroYen Futures,Euroyen (TIBOR),250000,0.025
F2,F2,NYMEX,PJM JCPL Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,PJM JCPL Zone Off-Peak Calendar-Month Day-Ahead LMP,5,0.05
F5,F5,NYMEX,PJM PPL Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,PJM PPL Zone Off-Peak Day-Ahead LMP,5,0.01
FC,FC,CME,Feeder Cattle Futures,Feeder Cattle,500,0.025
FDM,FDM,NYMEX,MISO Indiana Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,,,
FF,FF,CBT,30 Day Federal Funds Futures,30 Day Federal Funds,4167,0.025
FH,FH,NYMEX,WTS (Argus) vs. WTI Trade Month Futures,WTS (Argus) vs. WTI Trade Month,1000,0.01
FI,FI,NYMEX,1% Fuel Oil Cargoes FOB NWE (Platts) Crack Spread Futures,Fuel Oil 1% NWE Crack vs ICE Brent,1000,0.01
FO,FO,NYMEX,3.5% Fuel Oil Barges FOB Rdam (Platts) Crack Spread Futures,Fuel Oil 3.5% Rdam Crack vs ICE Brent,1000,0.01
FP,FP,NYMEX,Florida Gas Zone 3 Natural Gas (Platts IFERC) Basis Futures,Florida XmitZ3 Natural Gas Basis,2500,0.01
FS,FS,NYMEX,1% Fuel Oil Cargoes FOB NWE (Platts) vs. 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,Fuel Oil Swap Cargo v Barges,1000,0.01
FTM,FTM,NYMEX,MISO Indiana Hub Real-Time Off-Peak Calendar-Month 5 MW Futures,MISO Indiana Hub Real-Time Off-Peak,5,0.01
FV,FV,CBT,5 Yr Note Futures,5-Year U.S. T-Note,1000,0.025
FY,FY,NYMEX,Dated Brent (Platts) to Frontline Brent Futures,Dated-to-Frontline Brent Swap,1000,0.01
GA,GA,CME,Goldman Sachs - Excess Return Futures,,,
GC,GC,CEC,Gold Futures,Gold,100,0.01
GCI,GCI,NYMEX,Gulf Coast No.6 Fuel Oil 3.0% (Platts) Brent Crack Spread Futures,,,
GCU,GCU,NYMEX,Gulf Coast No. 6 Fuel Oil 3.0% (Platts) vs. European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,,,
GE,GE,NYMEX,Gulf Coast Jet Fuel (Platts) Futures,,,
GI,GI,CME,Goldman Sachs C.I. Futures,,,
GL,GL,NYMEX,Columbia Gulf Louisiana Natural Gas (Platts IFERC) Basis Futures,Columbia Gulf Natural Gas Basis,2500,0.01
GY,GY,NYMEX,Gulf Coast ULSD (Platts) Crack Spread Futures,,,
GZ,GZ,NYMEX,European Gasoil Brent Crack Spread Futures,European Low Sulphur Gasoil Brent Crack Spread,1000,0.01
H2,H2,NYMEX,ISO New England Mass Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,,,
H3,H3,NYMEX,MISO Indiana Hub (formerly Cinergy Hub) 5 Month Peak Calendar-Month Real-Time Futures,,,
H4,H4,NYMEX,MISO Indiana Hub (formerly Cinergy Hub) Real-Time Off-Peak Calendar-Month 5 MW Futures,,,
H5,H5,NYMEX,MISO Indiana Hub (formerly Cinergy Hub) Day-Ahead Peak Calendar-Month 5 MW Futures,,,
HA,HA,NYMEX,NY Harbor ULSD vs. Gasoil Futures,,,
HB,HB,NYMEX,Henry Hub Natural Gas (Platts IFERC) Basis Futures,Henry Hub Natural Gas Basis,1,0.01
HG,HG,CEC,Copper Futures,,,
HH,HH,NYMEX,Natural Gas (Henry Hub) Last-day Financial Futures,Natural Gas Financial (Last Day),10000,0.01
HK,HK,NYMEX,NY Harbor ULSD Crack Spread Futures,,,
HMO,HMO,NYMEX,MISO Michigan Hub 5 MW Off-Peak Calendar-Month Day-Ahead Futures,MISO Michigan Hub 5 MW Off-Peak Calendar-Month Day-Ahead,5,0.05
HMW,HMW,NYMEX,MISO Michigan Hub 5 MW Peak Calendar-Month Day-Ahead Futures,,,
HO,HO,NYMEX,NY Harbor ULSD Futures,NY Harbor ULSD,42000,0.01
HOB,HOB,NYMEX,NY Harbor ULSD Brent Crack Spread Futures,,,
HP,HP,NYMEX,Natural Gas (Henry Hub) Penultimate Financial Futures,Natural Gas Financial (Penultimate),10000,0.01
HR,HR,NYM,U.S. Midwest Domestic Hot-Rolled Coil Steel (CRU) Index Futures,,,
I3,I3,CBT,30 Year USD Deliverable Interest Rate Swap Futures,,,
I5,I5,NYMEX,ERCOT North 345 kV Hub 5 MW Peak Futures,,,
I6,I6,NYMEX,ERCOT North 345 kV Hub 5 MW Off-Peak Futures,ERCOT North 345 kV Hub Off-Peak,5,0.01
