root_symbol,root_symbol,exchange,name_x,name_y,multiplier,tick_size
U6,U6,NYMEX,ISO New England Mass Hub 5 MW Peak Calendar-Month Day-Ahead LMP Futures,,,
UA,UA,NYMEX,Singapore Fuel Oil 180 cst (Platts) Futures,Singapore Fuel 180 Swap,1000,0.01
UB,UB,NYMEX,Dated Brent (Platts) Financial Futures,,,
UL,UL,CBT,Ultra U.S. Treasury Bond Futures,Ultra T-Bonds,1000,0.01
UM,UM,NYMEX,PJM Northern Illinois Hub Real-Time Peak Calendar-Month 2.5 MW Futures,Northern Illinois Hub Peak Electricity,1,0.05
UN,UN,NYMEX,European Naphtha Cargoes CIF NWE (Platts) Futures,Euro Naphtha Swap,1000,0.01
UO,UO,NYMEX,PJM Northern Illinois Hub Off-Peak LMP Futures,Northern Illinois Hub Off-Peak Electricity,1,0.05
US,US,CBT,U.S. Treasury Bond Futures,,,
UV,UV,NYMEX,European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,Euro 3.5 Fuel Oil Sw,1000,0.01
UX,UX,NYMEX,UxC Uranium U3O8 Futures,UxC Uranium U3O8,250,0.05
V3,V3,NYMEX,PJM AEP Dayton Hub Real-Time Off-Peak Calendar-Month 5 MW Futures,PJM AEP Dayton Hub Real-Time Off-Peak,5,0.01
VM,VM,NYMEX,PJM AEP Dayton Hub Real-Time Peak Calendar-Month 2.5 MW Futures,,,
VP,VP,NYMEX,PJM AEP Dayton Hub Off-Peak LMP Futures,,,
VR,VR,NYMEX,NY 1% Fuel Oil (Platts) vs. Gulf Coast 3% Fuel Oil (Platts) Futures,,,
W,W,CBT,Wheat Futures,Wheat,50,0.02
W4,W4,NYMEX,PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,,,
W6,W6,NYMEX,PJM PSEG Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,PJM PSEG Zone Off-Peak Calendar-Month Day-Ahead LMP Swap,5,0.05
WCC,WCC,NYMEX,Canadian Heavy Crude Oil Index (Net Energy) Futures,Canadian Heavy Crude Oil Index (Net Energy),1000,0.01
WJ,WJ,NYMEX,LLS (Argus) vs. WTI Financial Futures,LLS (Argus) vs. WTI Spread Calendar Swap Futures,1000,0.01
WQ,WQ,NYMEX,Gasoil 0.1 Barges FOB Rdam (Platts) vs. Gasoil Futures,Gasoil 0.1 Barges FOB Rdam v ICE Gasoil Swap,10000,0.01
WS,WS,NYMEX,Crude Oil Financial Futures,Crude Oil Financial (Penultimate),1000,0.01
X1,X1,NYMEX,PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,PJM AECO Zone Off-Peak Day-Ahead LMP,5,0.01
XAF,XAF,CME,E-mini Financial Sector Futures,Emini S&P Select Sector Financial,250,0.01
XAK,XAK,CME,E-mini Technology Sector Futures,Emini S&P Select Sector Technology,100,0.01
XAP,XAP,CME,E-mini Consumer Staples Sector Futures,Emini S&P Select Sector Consumer Staples,100,0.01
XAU,XAU,CME,E-mini Utilities Sector Futures,Emini S&P Select Sector Utilities,100,0.01
XAY,XAY,CME,E-mini Consumer Discretionary Sector Futures,Emini S&P Select Sector Consumer Discrectionary,100,0.01
XN,XN,NYMEX,SoCal Natural Gas (Platts IFERC) Fixed Price Futures,,,
Y1,Y1,NYMEX,PJM AECO Zone Peak Calendar-Month Day-Ahead LMP Futures,,,
Y7,Y7,NYMEX,Tennessee 500 Leg Natural Gas (Platts Gas Daily/Platts IFERC) Index Futures,,,
YC,YC,CBT,Mini-Corn Futures,mini Corn,10,0.01
YH,YH,NYMEX,NY Heating Oil (Platts) vs. NY Harbor ULSD Futures,,,
YK,YK,CBT,Mini Soybean Futures,mini Soybeans,10,0.01
YM,YM,CBT,E-mini Dow ($5) Futures,e-mini Dow ($5),5,0.01
YW,YW,CBT,Mini Wheat Futures,mini Chicago SRW Wheat,10,0.01
YX,YX,NYMEX,Mars (Argus) vs. WTI Financial Futures,Mars (Argus) vs. WTI Financial,1000,0.01
Z,Z,CME,Euro/Polish Zloty Futures,,,
Z1,Z1,NYMEX,Ethanol T2 FOB Rdam Including Duty (Platts) Futures,,,
Z9,Z9,NYMEX,PJM AEP Dayton Hub 5MW Peak Calendar-Month Real-Time LMP Futures,PJM AEP Dayton Hub 5MW Peak Calendar-Month Real-Time LMP,80,0.05
