,AD,BO,BP,BZ,CD,CL,DA,EC,ED,EH,ES,FF,FV,GC,HG,HO,JY,LC,LN,MD,MP,NG,NK,NQ,PA,PL,RB,RU,SF,SI,SM,TU,TY,UL,US,YM,_C,_S,_W
2016-06-28 20:00:00+00:00,0.009137499999999998,0.68155,0.014511500000000016,1.8746500000000008,0.0072000000000000015,2.0973500000000005,0.18119999999999992,0.010402899999999993,0.0276980000000016,0.028820000000000026,29.68194999999998,0.006288999999999945,0.3637349370000004,19.55850000000001,0.048822000000000025,0.05362200000000002,88.322,2.2170800000000015,1.900495,22.669,749.2994999999999,0.11407,446.23700000000025,77.25919999999995,18.822999999999997,22.568000000000005,0.06720799999999999,270.0375,0.009315999999999998,0.37066499999999997,6.793500000000005,0.11238814199999972,0.6091804250000005,2.0453008499999994,1.6334494000000006,240.4859999999999,7.4291000000000045,16.30590000000001,11.69475
2016-06-29 20:00:00+00:00,0.009142999999999998,0.6833500000000005,0.014586500000000018,1.901299999999999,0.007220000000000002,2.099,0.18314999999999987,0.010402549999999993,0.02779800000000158,0.02882500000000002,29.804999999999982,0.0062639999999999675,0.36444819250000043,19.611000000000008,0.048836999999999964,0.05364500000000003,88.34400000000001,2.2161250000000017,1.6435100000000005,22.744500000000002,752.2489999999999,0.11409000000000001,445.88000000000017,77.49464999999992,18.858999999999995,22.668000000000017,0.0668335,269.86449999999996,0.009315499999999997,0.37282999999999994,6.822500000000006,0.11246459149999971,0.6105997950000005,2.0532963999999994,1.6368558500000006,241.66149999999988,7.456500000000005,16.322300000000006,11.68985
2016-06-30 20:00:00+00:00,0.009153499999999998,0.6844500000000004,0.014666500000000013,1.9033999999999998,0.007240000000000003,2.0988,0.1843499999999999,0.010432299999999995,0.02772400000000154,0.028995000000000024,29.792499999999983,0.006238999999999919,0.3632292275000005,19.63350000000001,0.04878949999999996,0.053800000000000035,88.3475,2.214475000000001,1.6327800000000008,22.7965,757.2929999999999,0.11402499999999999,445.07300000000015,77.43679999999993,18.819499999999994,22.747500000000013,0.0667745,270.13649999999996,0.009314999999999997,0.37603999999999993,6.899500000000005,0.11219389999999976,0.6090067950000004,2.0523599999999997,1.635064000000001,241.3619999999999,7.535650000000004,16.60870000000001,11.719150000000003
2016-07-01 20:00:00+00:00,0.009153499999999998,0.6859000000000006,0.014621500000000016,1.8957999999999993,0.007250000000000001,2.0875500000000002,0.1862499999999999,0.010426899999999992,0.027724500000001553,0.029060000000000027,29.759249999999984,0.0061989999999999415,0.3642959265000005,19.660000000000007,0.04892699999999995,0.05365650000000002,88.54349999999998,2.2135650000000013,1.6271000000000009,22.7875,758.4214999999999,0.11396999999999996,444.04250000000013,77.50174999999994,18.798,22.854000000000013,0.06656000000000001,261.38200000000006,0.009304499999999999,0.3795199999999999,6.895500000000004,0.11231098299999978,0.6119068350000003,2.0656197999999995,1.6445823000000006,241.05249999999992,7.539200000000005,16.658850000000008,11.744350000000003
2016-07-05 20:00:00+00:00,0.009128999999999998,0.6882500000000005,0.014721500000000014,1.9015999999999993,0.007270000000000003,2.09355,0.1869499999999999,0.010406249999999995,0.02732650000000163,0.029200000000000025,29.724349999999987,0.005874999999999986,0.3630836830000005,19.662000000000006,0.049053499999999965,0.053853500000000026,88.755,2.2238000000000007,1.6213700000000006,22.835500000000003,761.3724999999997,0.11457999999999996,444.2120000000001,77.45014999999994,18.811999999999994,22.85550000000002,0.0668475,262.26849999999996,0.009278499999999997,0.38515499999999997,6.970500000000004,0.11149672099999969,0.6117892750000004,2.0750265,1.648734200000001,240.65149999999986,7.598150000000004,16.92900000000001,11.789150000000001
2016-07-06 20:00:00+00:00,0.009134499999999999,0.6884500000000006,0.014761500000000014,1.8975499999999996,0.007240000000000002,2.0853,0.18854999999999988,0.010355449999999995,0.027302500000001687,0.02933000000000002,29.66209999999999,0.0058900000000000575,0.3632195315000004,19.64500000000001,0.04884299999999997,0.05379650000000002,89.04549999999999,2.225905000000001,1.6275250000000012,22.791,759.8264999999997,0.11463499999999996,443.1040000000001,77.41099999999994,18.844999999999995,22.879500000000018,0.06682800000000001,261.2395,0.009221999999999998,0.3862699999999999,7.036000000000005,0.1116936404999997,0.6115043100000004,2.0713691499999993,1.6434604500000005,239.9344999999999,7.632400000000003,17.034250000000007,11.80785
2016-07-07 20:00:00+00:00,0.009125,0.6891000000000004,0.014801500000000016,1.9063499999999993,0.007260000000000002,2.0891,0.19004999999999989,0.010294749999999993,0.02735250000000164,0.029350000000000022,29.61284999999999,0.0058900000000000575,0.36319901150000045,19.696000000000012,0.04880499999999996,0.05410600000000002,89.1225,2.224470000000001,1.6270650000000006,22.741499999999995,761.0029999999999,0.11480499999999999,442.2240000000001,77.20664999999995,18.820499999999996,22.88150000000002,0.06704650000000001,261.89850000000007,0.009191499999999998,0.389485,7.135000000000004,0.11181023299999972,0.6113010500000005,2.066332649999999,1.6389180000000008,239.5534999999999,7.641300000000005,17.293150000000008,11.78115
2016-07-08 20:00:00+00:00,0.009125499999999998,0.6908500000000005,0.014776500000000015,1.9033499999999994,0.007265000000000002,2.0846999999999998,0.18974999999999992,0.010304299999999994,0.027328000000001608,0.029490000000000016,29.569699999999983,0.005875000000000057,0.3638433480000004,19.795000000000012,0.04839899999999996,0.05397250000000004,89.4525,2.226045000000001,1.6277900000000005,22.741,762.5604999999999,0.114925,440.7155,77.00484999999995,18.81,22.845500000000026,0.06685600000000001,263.09700000000004,0.0092315,0.3923899999999999,7.167500000000005,0.1120476219999997,0.6121199700000005,2.0651596499999996,1.6378355000000007,239.2904999999999,7.675100000000006,17.41835000000001,11.81615
2016-07-11 20:00:00+00:00,0.009101,0.6906000000000005,0.014781500000000012,1.8948499999999995,0.007260000000000002,2.0735,0.18894999999999995,0.010283849999999992,0.027328500000001553,0.02935000000000002,29.499249999999982,0.005860000000000056,0.3644814595000004,19.85350000000001,0.04846199999999997,0.05374200000000004,90.32,2.227255000000001,1.623060000000001,22.7185,761.0249999999997,0.115465,442.76050000000004,76.88914999999996,18.648999999999997,22.819500000000026,0.06661750000000001,263.2375,0.009216,0.39456,7.209500000000004,0.11224421449999966,0.6130834500000005,2.0672617499999997,1.6388096500000007,238.8444999999999,7.729500000000006,17.50845000000001,11.815600000000002
2016-07-12 20:00:00+00:00,0.009111499999999996,0.6909000000000005,0.014896500000000014,1.9010999999999998,0.007270000000000001,2.07595,0.18714999999999993,0.010253249999999992,0.027354000000001478,0.02921000000000001,29.410599999999995,0.005845000000000056,0.36468942700000034,19.858000000000015,0.04865449999999996,0.05386900000000003,91.08849999999998,2.210700000000001,1.6148150000000008,22.700000000000003,755.2264999999996,0.11524,442.3520000000001,76.60029999999995,18.611499999999992,22.784500000000023,0.06664300000000002,263.325,0.00919,0.3952399999999999,7.240500000000004,0.11220676699999962,0.6142858550000004,2.0764978,1.643606450000001,237.96949999999998,7.767900000000005,17.638600000000007,11.829550000000001
2016-07-13 20:00:00+00:00,0.009116999999999997,0.6886000000000004,0.01493650000000001,1.9055499999999999,0.0073,2.0772000000000004,0.1963,0.010242849999999994,0.027229500000001464,0.029190000000000018,29.2733,0.005845000000000056,0.3638494250000004,19.880000000000013,0.04878699999999997,0.05407400000000004,91.112,2.2109150000000013,1.6128850000000008,22.645000000000003,752.5454999999997,0.11509499999999998,440.81800000000004,76.08239999999995,18.6025,22.81500000000002,0.06669050000000001,263.1025,0.009169499999999999,0.397005,7.288500000000004,0.1120143189999996,0.6132195950000007,2.0773497499999998,1.643180450000001,236.94149999999993,7.801250000000006,17.721350000000008,11.829150000000002
2016-07-14 20:00:00+00:00,0.009122499999999997,0.6882000000000004,0.015086500000000011,1.9040999999999997,0.007315,2.0733,0.19804999999999995,0.010227399999999992,0.02725500000000146,0.029340000000000012,29.098549999999996,0.005835000000000079,0.3642131985000004,19.915500000000012,0.04857299999999997,0.053995000000000015,91.6745,2.213945000000001,1.6116850000000011,22.514500000000016,751.7239999999997,0.11475499999999997,440.06050000000005,75.56274999999997,18.5525,22.759500000000017,0.06653400000000004,263.9585000000001,0.009164,0.3965549999999999,7.373000000000004,0.11213123849999959,0.6137157050000006,2.08249445,1.6456531500000011,235.94749999999993,7.840800000000005,17.95905000000001,11.830900000000002
2016-07-15 20:00:00+00:00,0.009137999999999999,0.6886500000000004,0.015226500000000009,1.9031999999999996,0.007325000000000002,2.07055,0.19865000000000002,0.010242049999999996,0.02733050000000141,0.029330000000000016,29.064199999999992,0.0058100000000001015,0.36458404700000036,19.945500000000017,0.048555499999999974,0.05396300000000001,92.10899999999998,2.2121600000000012,1.6115250000000005,22.504500000000018,752.9434999999997,0.11463999999999999,438.70400000000006,75.35539999999996,18.5135,22.755000000000017,0.06650650000000004,264.5405,0.009163499999999998,0.396995,7.418000000000003,0.11228815799999957,0.6142868150000005,2.0869638999999998,1.6489572500000012,235.60399999999993,7.906750000000005,18.13670000000001,11.860700000000001
2016-07-18 20:00:00+00:00,0.009128499999999998,0.6896500000000003,0.015241500000000014,1.9034999999999993,0.007325000000000001,2.0692500000000003,0.1993,0.010216599999999994,0.027306000000001374,0.02936000000000001,28.923049999999993,0.005795000000000101,0.36443852700000035,19.923000000000016,0.04823449999999996,0.054029500000000015,92.27399999999997,2.2056400000000007,1.6109950000000006,22.43250000000002,752.6699999999997,0.11436999999999997,438.0240000000001,75.06679999999994,18.489,22.755500000000016,0.06641250000000003,265.08200000000005,0.009147999999999998,0.398155,7.446000000000005,0.11220991399999952,0.6142290400000003,2.0902264999999995,1.6512945000000008,234.70399999999995,7.8955000000000055,18.213250000000006,11.826900000000002
