,amount,commission,dt,order_id,price,sid,symbol,txn_dollars
2009-12-16 21:00:00+00:00,464,,2009-12-16 21:00:00+00:00,be412d31448743918bf63934eb1f39a6,10399.0,Future(8354 [YMH10]),Future(8354 [YMH10]),-24125680.0
2009-12-18 21:00:00+00:00,100,,2009-12-18 21:00:00+00:00,f70859312e48419f83765b1a2ab84005,5.766,Future(8280 [NGF10]),Future(8280 [NGF10]),-5766000.0
2009-12-21 21:00:00+00:00,-327,,2009-12-21 21:00:00+00:00,c63dfefdc540495a9bad6c9e850e897f,38.58,Future(8293 [BOF10]),Future(8293 [BOF10]),7569396.0
2009-12-22 21:00:00+00:00,514,,2009-12-22 21:00:00+00:00,f6375711e99e4fcf986f6a5476070267,85.75,Future(8326 [LCG10]),Future(8326 [LCG10]),-17630200.0
2009-12-22 21:00:00+00:00,-93,,2009-12-22 21:00:00+00:00,cf44df986e6a44ccab7b27fd9ec3d0d9,3.11,Future(8279 [HGZ09]),Future(8279 [HGZ09]),7230749.999999999
2009-12-22 21:00:00+00:00,175,,2009-12-22 21:00:00+00:00,5c4b38608c6a467ba9d51dd95c26f456,3.132,Future(8300 [HGF10]),Future(8300 [HGF10]),-13702500.0
2009-12-23 21:00:00+00:00,356,,2009-12-23 21:00:00+00:00,900defabe8684c0e842f471b4ede1027,10505.0,Future(8329 [NKH10]),Future(8329 [NKH10]),-18698900.0
2009-12-23 21:00:00+00:00,-203,,2009-12-23 21:00:00+00:00,0cf24e167253433ab894694a17b26083,356.4,Future(8362 [PAH10]),Future(8362 [PAH10]),7234920.0
2009-12-24 18:00:00+00:00,-1915,,2009-12-24 18:00:00+00:00,428d56ddc7bc479c89fda7784ae8e91b,108.453,Future(8369 [TUH10]),Future(8369 [TUH10]),415374990.0
2009-12-29 21:00:00+00:00,-238,,2009-12-29 21:00:00+00:00,a97de7a8baf94d28b99a74836458e71e,308.5,Future(8291 [SMF10]),Future(8291 [SMF10]),7342300.0
2009-12-29 21:00:00+00:00,-128,,2009-12-29 21:00:00+00:00,4747cc72c9424151932c80d94179a53d,1025.0,Future(8292 [SF10]),Future(8292 [SF10]),6560000.0
