Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.968700,43.968700,43.750000,43.937500,26.954851,1003200
1993-02-01,43.968700,44.250000,43.968700,44.250000,27.146563,480500
1993-02-02,44.218700,44.375000,44.125000,44.343700,27.204052,201300
1993-02-03,44.406200,44.843700,44.375000,44.812500,27.491642,529400
1993-02-04,44.968700,45.093700,44.468700,45.000000,27.606684,531500
1993-02-05,44.968700,45.062500,44.718700,44.968700,27.587467,492100
1993-02-08,44.968700,45.125000,44.906200,44.968700,27.587467,596100
1993-02-09,44.812500,44.812500,44.562500,44.656200,27.395754,122100
1993-02-10,44.656200,44.750000,44.531200,44.718700,27.434109,379600
1993-02-11,44.781200,45.125000,44.781200,44.937500,27.568338,19500
1993-02-12,44.875000,44.875000,44.593700,44.593700,27.357416,42500
1993-02-16,44.468700,44.468700,43.406200,43.468700,26.667248,374800
1993-02-17,43.468700,43.531200,43.281200,43.437500,26.648104,210900
1993-02-18,43.937500,43.937500,42.812500,43.406200,26.628904,378100
1993-02-19,43.406200,43.562500,43.343700,43.562500,26.724798,34900
1993-02-22,43.687500,43.781200,43.562500,43.718700,26.820633,513600
1993-02-23,43.843700,43.875000,43.468700,43.687500,26.801489,373700
1993-02-24,43.718700,44.250000,43.718700,44.250000,27.146563,26300
1993-02-25,44.218700,44.375000,44.125000,44.343700,27.204052,44500
1993-02-26,44.437500,44.437500,44.187500,44.406200,27.242388,66200
1993-03-01,44.562500,44.562500,44.218700,44.281200,27.165707,66500
1993-03-02,44.312500,44.937500,44.250000,44.937500,27.568338,182400
1993-03-03,45.000000,45.156200,44.937500,45.125000,27.683357,280100
1993-03-04,45.187500,45.187500,44.875000,44.875000,27.529985,89500
1993-03-05,44.937500,45.125000,44.718700,44.750000,27.453302,40000
1993-03-08,44.843700,45.750000,44.843700,45.750000,28.066788,50800
1993-03-09,45.656200,45.687500,45.500000,45.593700,27.970888,169300
1993-03-10,45.593700,45.687500,45.406200,45.687500,28.028440,194400
1993-03-11,45.718700,45.843700,45.500000,45.562500,27.951756,70900
1993-03-12,45.187500,45.218700,44.812500,45.093700,27.664164,643600
1993-03-15,45.062500,45.312500,45.062500,45.312500,27.798382,310800
1993-03-16,45.312500,45.437500,45.312500,45.312500,27.798382,30800
1993-03-17,45.250000,45.250000,44.968700,45.031200,27.625809,21800
1993-03-18,45.218700,45.500000,45.218700,45.312500,27.798382,59300
1993-03-19,45.281200,45.281200,45.031200,45.031200,27.756279,66900
1993-03-22,44.593700,44.875000,44.562500,44.781200,27.602194,183400
1993-03-23,44.906200,44.937500,44.812500,44.875000,27.660004,55200
1993-03-24,44.812500,45.062500,44.593700,44.875000,27.660004,37200
1993-03-25,44.906200,45.250000,44.843700,45.156200,27.833338,110100
1993-03-26,45.125000,45.156200,44.875000,44.906200,27.679239,101500
1993-03-29,44.937500,45.312500,44.937500,45.093700,27.794813,87100
1993-03-30,45.156200,45.218700,45.093700,45.218700,27.871864,56000
1993-03-31,45.343700,45.468700,45.187500,45.187500,27.852634,111600
1993-04-01,45.250000,45.250000,44.937500,45.031200,27.756279,129500
1993-04-02,44.656200,44.656200,44.093700,44.093700,27.178442,59400
1993-04-05,44.437500,44.437500,44.187500,44.312500,27.313293,172200
1993-04-06,44.406200,44.406200,44.062500,44.187500,27.236250,129700
1993-04-07,44.250000,44.343700,44.156200,44.343700,27.332529,28000
1993-04-08,44.531200,44.531200,44.093700,44.281200,27.294008,180800
1993-04-12,44.718700,44.937500,44.656200,44.906200,27.679239,348500
1993-04-13,44.875000,45.156200,44.843700,45.000000,27.737057,146100
1993-04-14,45.031200,45.062500,44.906200,44.937500,27.698534,119600
1993-04-15,44.906200,45.031200,44.750000,44.937500,27.698534,148600
1993-04-16,44.968700,45.031200,44.875000,44.937500,27.698534,47900
1993-04-19,44.937500,45.062500,44.718700,44.750000,27.582960,157000
1993-04-20,44.687500,44.750000,44.250000,44.531200,27.448111,279500
1993-04-21,44.625000,44.625000,44.375000,44.500000,27.428869,67900
1993-04-22,44.312500,44.687500,43.937500,43.937500,27.082150,97700
1993-04-23,43.843700,43.968700,43.687500,43.750000,26.966587,106000
1993-04-26,43.781200,43.937500,43.281200,43.406200,26.754671,62600
1993-04-27,43.343700,43.875000,43.343700,43.875000,27.043629,156800
1993-04-28,43.812500,43.906200,43.718700,43.781200,26.985807,85900
1993-04-29,43.875000,43.968700,43.625000,43.968700,27.101385,85000
1993-04-30,44.125000,44.281200,44.031200,44.031200,27.139902,88500
1993-05-03,44.093700,44.312500,43.906200,44.312500,27.313293,80500
1993-05-04,44.406200,44.625000,44.343700,44.468700,27.409594,149100
1993-05-05,44.468700,44.750000,44.468700,44.593700,27.486616,109000
1993-05-06,44.531200,44.562500,44.406200,44.437500,27.390337,54700
1993-05-07,44.468700,44.468700,44.281200,44.343700,27.332529,68000
1993-05-10,44.406200,44.687500,44.406200,44.437500,27.390337,113900
1993-05-11,44.437500,44.625000,44.312500,44.625000,27.505890,42600
1993-05-12,44.437500,44.593700,44.437500,44.562500,27.467386,31000
1993-05-13,44.375000,44.375000,44.000000,44.031200,27.139902,129100
1993-05-14,44.031200,44.156200,43.968700,44.000000,27.120680,63500
1993-05-17,44.125000,44.156200,43.937500,44.156200,27.216959,34000
1993-05-18,44.187500,44.218700,43.968700,44.125000,27.197720,105200
1993-05-19,44.125000,45.031200,43.843700,45.031200,27.756279,50200
1993-05-20,45.031200,45.156200,44.937500,45.156200,27.833338,98200
1993-05-21,45.187500,45.250000,44.718700,44.750000,27.582960,221400
1993-05-24,44.843700,45.093700,44.843700,44.937500,27.698534,30500
1993-05-25,45.125000,45.125000,45.031200,45.031200,27.756279,191800
1993-05-26,45.156200,45.625000,45.125000,45.593700,28.103003,102400
1993-05-27,45.656200,45.656200,45.375000,45.437500,28.006720,53800
1993-05-28,45.406200,45.406200,45.000000,45.218700,27.871864,79100
1993-06-01,45.375000,45.812500,45.312500,45.656200,28.141516,28300
1993-06-02,45.531200,45.750000,45.343700,45.593700,28.103003,20300
1993-06-03,45.500000,45.500000,45.343700,45.437500,28.006720,21600
1993-06-04,45.312500,45.312500,45.093700,45.281200,27.910389,32000
1993-06-07,45.375000,45.375000,45.125000,45.125000,27.814095,121400
1993-06-08,45.000000,45.000000,44.718700,44.718700,27.563684,104500
1993-06-09,44.875000,45.062500,44.812500,44.875000,27.660004,43300
