Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2001-02-22,22.09,22.09,22.09,,,22.09,0.0,0.0
2001-02-23,22.23,22.23,22.23,,,22.23,0.0,0.0
2001-02-26,22.09,22.09,22.09,,,22.09,0.0,0.0
2001-02-27,22.29,22.29,22.29,,,22.29,0.0,0.0
2001-02-28,21.83,21.83,21.83,,,21.83,0.0,0.0
2001-03-01,22.15,22.15,22.15,,,22.15,0.0,0.0
2001-03-02,22.13,22.13,22.13,,,22.13,0.0,0.0
2001-03-05,22.36,22.36,22.36,,,22.36,0.0,0.0
2001-03-06,22.36,22.36,22.36,,,22.36,0.0,0.0
2001-03-07,23.07,23.07,23.07,,,23.07,0.0,0.0
2001-03-08,22.66,22.66,22.66,,,22.66,0.0,0.0
2001-03-09,22.65,22.65,22.65,,,22.65,0.0,0.0
2001-03-12,22.8,22.8,22.8,,,22.8,0.0,0.0
2001-03-13,22.44,22.44,22.44,,,22.44,0.0,0.0
2001-03-14,22.0,22.0,22.0,,,22.0,0.0,0.0
2001-03-15,22.6,22.6,22.6,,,22.6,0.0,0.0
2001-03-16,22.3,22.3,22.3,,,22.3,0.0,0.0
2001-03-19,22.47,22.47,22.47,,,22.47,0.0,0.0
2001-03-20,22.07,22.07,22.07,,,22.07,0.0,0.0
2001-03-21,22.37,22.46,22.37,,,22.46,4.0,4.0
2001-03-22,22.19,22.19,22.19,,,22.19,0.0,4.0
2001-03-23,22.64,22.64,22.64,,,22.64,0.0,0.0
2001-03-26,22.59,22.59,22.59,,,22.59,0.0,0.0
2001-03-27,22.64,22.64,22.64,,,22.64,0.0,0.0
2001-03-28,21.88,21.88,21.88,,,21.88,0.0,0.0
2001-03-29,22.29,22.29,22.29,,,22.29,0.0,0.0
2001-03-30,22.83,22.83,22.83,,,22.83,0.0,0.0
2001-04-02,22.23,22.23,22.23,,,22.23,0.0,0.0
2001-04-03,22.61,22.61,22.61,,,22.61,0.0,0.0
2001-04-04,22.92,22.92,22.92,,,22.92,115.0,119.0
2001-04-05,22.82,22.82,22.82,,,22.82,0.0,119.0
2001-04-06,22.81,22.81,22.81,,,22.81,0.0,119.0
2001-04-09,22.99,22.99,22.99,,,22.99,0.0,119.0
2001-04-10,23.62,23.62,23.62,,,23.62,0.0,119.0
2001-04-11,23.5,23.5,23.5,,,23.5,0.0,119.0
2001-04-12,23.45,23.45,23.45,,,23.45,0.0,119.0
2001-04-16,23.88,23.88,23.88,,,23.88,0.0,119.0
2001-04-17,23.64,23.64,23.64,,,23.64,0.0,119.0
2001-04-18,23.8,23.8,23.8,,,23.8,0.0,119.0
2001-04-19,23.64,23.64,23.64,,,23.64,0.0,119.0
2001-04-20,23.14,23.14,23.14,,,23.14,0.0,119.0
2001-04-23,23.51,23.51,23.51,,,23.51,0.0,119.0
2001-04-24,23.25,23.25,23.25,,,23.25,0.0,119.0
2001-04-25,23.6,23.6,23.6,,,23.6,120.0,169.0
2001-04-26,23.76,23.76,23.76,,,23.76,0.0,169.0
2001-04-27,23.7,23.7,23.7,,,23.7,0.0,169.0
2001-04-30,23.58,23.58,23.58,,,23.58,0.0,169.0
2001-05-01,23.49,23.49,23.49,,,23.49,0.0,169.0
2001-05-02,23.16,23.16,23.16,,,23.16,0.0,169.0
2001-05-03,23.48,23.48,23.48,,,23.48,0.0,169.0
2001-05-04,23.42,23.42,23.42,,,23.42,0.0,169.0
