Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2017-11-21,,,,,0.0,49.52,0.0,0.0
2017-11-22,,,,,0.02,49.5,0.0,0.0
2017-11-24,,,,,0.23,49.73,0.0,0.0
2017-11-27,,,,,0.55,50.28,0.0,0.0
2017-11-28,,,,,0.17,50.45,0.0,0.0
2017-11-29,,,,,0.23,50.68,0.0,0.0
2017-11-30,,,,,,50.68,0.0,0.0
2017-12-01,,,,,0.13,50.55,0.0,0.0
2017-12-04,,,,,0.12,50.67,0.0,0.0
2017-12-05,,,,,0.11,50.78,0.0,0.0
2017-12-06,,,,,0.27,50.51,0.0,0.0
2017-12-07,,,,,0.47,50.98,0.0,0.0
2017-12-08,,,,,,50.98,0.0,0.0
2017-12-11,,,,,0.09,51.07,0.0,0.0
2017-12-12,,,,,0.36,50.71,0.0,0.0
2017-12-13,,,,,1.03,49.68,0.0,0.0
2017-12-14,,,,,0.07,49.75,0.0,0.0
2017-12-15,,,,,0.25,49.5,0.0,0.0
2017-12-18,,,,,0.64,50.14,0.0,0.0
2017-12-19,,,,,0.48,50.62,0.0,0.0
2017-12-20,,,,,0.13,50.49,0.0,0.0
2017-12-21,,,,,0.09,50.58,0.0,0.0
2017-12-22,,,,,0.36,50.94,0.0,0.0
2017-12-26,,,,,0.38,51.32,0.0,0.0
2017-12-27,,,,,0.34,51.66,0.0,0.0
2017-12-28,,,,,0.13,51.79,0.0,0.0
2017-12-29,,,,,0.23,51.56,0.0,0.0
2018-01-02,,,,,0.15,51.41,0.0,0.0
2018-01-03,,,,,0.06,51.47,0.0,0.0
2018-01-04,,,,,0.06,51.41,0.0,0.0
2018-01-05,,,,,0.33,51.74,0.0,0.0
2018-01-08,,,,,0.44,52.18,0.0,0.0
2018-01-09,,,,,0.39,52.57,0.0,0.0
2018-01-10,,,,,0.18,52.39,0.0,0.0
2018-01-11,,,,,0.01,52.4,0.0,0.0
2018-01-12,,,,,0.09,52.49,0.0,0.0
2018-01-16,,,,,0.04,52.53,0.0,0.0
2018-01-17,,,,,0.34,52.87,0.0,0.0
2018-01-18,,,,,0.27,53.14,0.0,0.0
2018-01-19,,,,,0.3,53.44,0.0,0.0
2018-01-22,,,,,0.11,53.55,0.0,0.0
2018-01-23,,,,,0.23,53.78,0.0,0.0
2018-01-24,,,,,0.56,53.22,0.0,0.0
2018-01-25,,,,,0.18,53.4,0.0,0.0
2018-01-26,,,,,0.13,53.27,0.0,0.0
2018-01-29,,,,,0.39,52.88,0.0,0.0
2018-01-30,,,,,0.62,52.26,0.0,0.0
2018-01-31,,,,,0.19,52.07,0.0,0.0
2018-02-01,,,,,,52.07,0.0,0.0
2018-02-02,,,,,0.96,51.11,0.0,0.0
2018-02-05,,,,,0.33,50.78,0.0,0.0
2018-02-06,,,,,0.25,50.53,0.0,0.0
2018-02-07,,,,,0.76,49.77,0.0,0.0
